sample cell chr10tr
RPE-BM510 BM510x04_PE20301 C
RPE-BM510 BM510x04_PE20302 C
RPE-BM510 BM510x04_PE20303 C
RPE-BM510 BM510x04_PE20304 C
RPE-BM510 BM510x04_PE20305 C
RPE-BM510 BM510x04_PE20306 W
RPE-BM510 BM510x04_PE20307 W
RPE-BM510 BM510x04_PE20308 W
RPE-BM510 BM510x04_PE20309 W
RPE-BM510 BM510x04_PE20310 W
RPE-BM510 BM510x04_PE20311 W
RPE-BM510 BM510x04_PE20312 W
RPE-BM510 BM510x04_PE20313 C
RPE-BM510 BM510x04_PE20314 W
RPE-BM510 BM510x04_PE20316 C
RPE-BM510 BM510x04_PE20317 W
RPE-BM510 BM510x04_PE20318 C
RPE-BM510 BM510x04_PE20319 W
RPE-BM510 BM510x04_PE20321 W
RPE-BM510 BM510x04_PE20322 W
RPE-BM510 BM510x04_PE20325 C
RPE-BM510 BM510x04_PE20328 W
RPE-BM510 BM510x04_PE20329 C
RPE-BM510 BM510x04_PE20330 W
RPE-BM510 BM510x04_PE20331 W
RPE-BM510 BM510x04_PE20332 C
RPE-BM510 BM510x04_PE20333 W
RPE-BM510 BM510x04_PE20334 C
RPE-BM510 BM510x04_PE20335 C
RPE-BM510 BM510x04_PE20336 C
RPE-BM510 BM510x04_PE20337 C
RPE-BM510 BM510x04_PE20339 C
RPE-BM510 BM510x04_PE20340 W
RPE-BM510 BM510x04_PE20342 C
RPE-BM510 BM510x04_PE20343 W
RPE-BM510 BM510x04_PE20344 W
RPE-BM510 BM510x04_PE20345 W
RPE-BM510 BM510x04_PE20347 W
RPE-BM510 BM510x04_PE20348 W
RPE-BM510 BM510x04_PE20353 C
RPE-BM510 BM510x04_PE20355 W
RPE-BM510 BM510x04_PE20356 W
RPE-BM510 BM510x04_PE20357 W
RPE-BM510 BM510x04_PE20358 C
RPE-BM510 BM510x04_PE20359 W
RPE-BM510 BM510x04_PE20360 W
RPE-BM510 BM510x04_PE20361 C
RPE-BM510 BM510x04_PE20362 C
RPE-BM510 BM510x04_PE20363 C
RPE-BM510 BM510x04_PE20365 C
RPE-BM510 BM510x04_PE20366 C
RPE-BM510 BM510x04_PE20367 C
RPE-BM510 BM510x04_PE20368 C
RPE-BM510 BM510x04_PE20370 W
RPE-BM510 BM510x04_PE20371 W
RPE-BM510 BM510x04_PE20373 C
RPE-BM510 BM510x04_PE20374 W
RPE-BM510 BM510x04_PE20375 W
RPE-BM510 BM510x04_PE20377 C
RPE-BM510 BM510x04_PE20378 W
RPE-BM510 BM510x04_PE20379 W
RPE-BM510 BM510x04_PE20380 W
RPE-BM510 BM510x04_PE20381 W
RPE-BM510 BM510x04_PE20382 W
RPE-BM510 BM510x04_PE20383 C
RPE-BM510 BM510x04_PE20384 C
RPE-BM510 BM510x04_PE20386 C
RPE-BM510 BM510x04_PE20387 W
RPE-BM510 BM510x04_PE20389 C
RPE-BM510 BM510x04_PE20390 C
RPE-BM510 BM510x04_PE20392 C
RPE-BM510 BM510x04_PE20393 W
RPE-BM510 BM510x04_PE20394 C
RPE-BM510 BM510x04_PE20395 C
RPE-BM510 BM510x04_PE20372 C
RPE-BM510 BM510x3PE20401 W
RPE-BM510 BM510x3PE20402 C
RPE-BM510 BM510x3PE20403 W
RPE-BM510 BM510x3PE20406 W
RPE-BM510 BM510x3PE20407 C
RPE-BM510 BM510x3PE20408 W
RPE-BM510 BM510x3PE20410 W
RPE-BM510 BM510x3PE20411 C
RPE-BM510 BM510x3PE20414 C
RPE-BM510 BM510x3PE20415 C
RPE-BM510 BM510x3PE20416 C
RPE-BM510 BM510x3PE20417 C
RPE-BM510 BM510x3PE20418 C
RPE-BM510 BM510x3PE20419 W
RPE-BM510 BM510x3PE20421 W
RPE-BM510 BM510x3PE20422 W
RPE-BM510 BM510x3PE20423 C
RPE-BM510 BM510x3PE20424 C
RPE-BM510 BM510x3PE20425 W
RPE-BM510 BM510x3PE20426 C
RPE-BM510 BM510x3PE20427 W
RPE-BM510 BM510x3PE20429 C
RPE-BM510 BM510x3PE20431 W
RPE-BM510 BM510x3PE20433 W
RPE-BM510 BM510x3PE20435 W
RPE-BM510 BM510x3PE20436 C
RPE-BM510 BM510x3PE20437 C
RPE-BM510 BM510x3PE20438 W
RPE-BM510 BM510x3PE20439 C
RPE-BM510 BM510x3PE20440 W
RPE-BM510 BM510x3PE20441 W
RPE-BM510 BM510x3PE20444 C
RPE-BM510 BM510x3PE20446 C
RPE-BM510 BM510x3PE20447 W
RPE-BM510 BM510x3PE20448 C
RPE-BM510 BM510x3PE20449 W
RPE-BM510 BM510x3PE20450 W
RPE-BM510 BM510x3PE20452 W
RPE-BM510 BM510x3PE20453 C
RPE-BM510 BM510x3PE20454 W
RPE-BM510 BM510x3PE20455 C
RPE-BM510 BM510x3PE20456 C
RPE-BM510 BM510x3PE20457 W
RPE-BM510 BM510x3PE20458 W
RPE-BM510 BM510x3PE20460 W
RPE-BM510 BM510x3PE20462 W
RPE-BM510 BM510x3PE20463 W
RPE-BM510 BM510x3PE20464 W
RPE-BM510 BM510x3PE20468 W
RPE-BM510 BM510x3PE20469 W
RPE-BM510 BM510x3PE20471 C
RPE-BM510 BM510x3PE20473 W
RPE-BM510 BM510x3PE20474 C
RPE-BM510 BM510x3PE20476 C
RPE-BM510 BM510x3PE20477 W
RPE-BM510 BM510x3PE20479 C
RPE-BM510 BM510x3PE20480 C
RPE-BM510 BM510x3PE20481 W
RPE-BM510 BM510x3PE20482 C
RPE-BM510 BM510x3PE20483 C
RPE-BM510 BM510x3PE20485 C
RPE-BM510 BM510x3PE20486 C
RPE-BM510 BM510x3PE20487 W
RPE-BM510 BM510x3PE20488 W
RPE-BM510 BM510x3PE20489 W
RPE-BM510 BM510x3PE20490 W
RPE-BM510 BM510x3PE20491 C
RPE-BM510 BM510x3PE20492 W
RPE-BM510 BM510x3PE20495 W
RPE-BM510 BM510x3PE20496 C
