chrom start end sample cell class len
chr10 0 133797422 RPE-BM510 BM510x04_PE20304 CW 133797422
chrX 0 156040895 RPE-BM510 BM510x04_PE20304 WC 156040895
chr10 0 133797422 RPE-BM510 BM510x04_PE20307 WC 133797422
chrX 0 156040895 RPE-BM510 BM510x04_PE20307 CW 156040895
chr10 0 133797422 RPE-BM510 BM510x04_PE20309 WC 133797422
chrX 0 156040895 RPE-BM510 BM510x04_PE20309 CW 156040895
chr10 0 46300000 RPE-BM510 BM510x04_PE20310 CC 46300000
chr10 46300000 133797422 RPE-BM510 BM510x04_PE20310 WC 87497422
chrX 0 156040895 RPE-BM510 BM510x04_PE20310 CW 156040895
chr10 0 133797422 RPE-BM510 BM510x04_PE20314 WC 133797422
chrX 0 156040895 RPE-BM510 BM510x04_PE20314 CW 156040895
chr10 0 133797422 RPE-BM510 BM510x04_PE20316 CW 133797422
chrX 0 156040895 RPE-BM510 BM510x04_PE20316 CC 156040895
chr10 0 133797422 RPE-BM510 BM510x04_PE20317 WC 133797422
chrX 0 156040895 RPE-BM510 BM510x04_PE20317 WW 156040895
chr10 0 133797422 RPE-BM510 BM510x04_PE20333 WC 133797422
chrX 0 29500000 RPE-BM510 BM510x04_PE20333 WC 29500000
chrX 29500000 156040895 RPE-BM510 BM510x04_PE20333 WW 126540895
chr10 0 133797422 RPE-BM510 BM510x04_PE20334 CW 133797422
chrX 0 156040895 RPE-BM510 BM510x04_PE20334 WC 156040895
chr10 0 133797422 RPE-BM510 BM510x04_PE20335 CW 133797422
chrX 0 156040895 RPE-BM510 BM510x04_PE20335 CC 156040895
chr10 0 60800000 RPE-BM510 BM510x04_PE20340 CC 60800000
chr10 60800000 133797422 RPE-BM510 BM510x04_PE20340 CW 72997422
chrX 0 104200000 RPE-BM510 BM510x04_PE20340 WC 104200000
chrX 104200000 156040895 RPE-BM510 BM510x04_PE20340 WW 51840895
chr10 0 60800000 RPE-BM510 BM510x04_PE20343 CC 60800000
chr10 60800000 121700000 RPE-BM510 BM510x04_PE20343 CW 60900000
chr10 121700000 133797422 RPE-BM510 BM510x04_PE20343 CC 12097422
chrX 0 39100000 RPE-BM510 BM510x04_PE20343 WW 39100000
chrX 39100000 76900000 RPE-BM510 BM510x04_PE20343 WC 37800000
chrX 76900000 156040895 RPE-BM510 BM510x04_PE20343 WW 79140895
chr10 0 133797422 RPE-BM510 BM510x04_PE20353 CW 133797422
chrX 0 156040895 RPE-BM510 BM510x04_PE20353 CC 156040895
chr10 0 13900000 RPE-BM510 BM510x04_PE20355 CC 13900000
chr10 13900000 133797422 RPE-BM510 BM510x04_PE20355 WC 119897422
chrX 0 156040895 RPE-BM510 BM510x04_PE20355 CW 156040895
chr10 0 133797422 RPE-BM510 BM510x04_PE20356 WC 133797422
chrX 0 56700000 RPE-BM510 BM510x04_PE20356 CW 56700000
chrX 56700000 156040895 RPE-BM510 BM510x04_PE20356 WW 99340895
chr10 0 133797422 RPE-BM510 BM510x04_PE20375 WC 133797422
chrX 0 156040895 RPE-BM510 BM510x04_PE20375 WW 156040895
chr10 0 133797422 RPE-BM510 BM510x04_PE20378 WW 133797422
chrX 0 148400000 RPE-BM510 BM510x04_PE20378 CC 148400000
chrX 148400000 156040895 RPE-BM510 BM510x04_PE20378 CW 7640895
chr10 0 76300000 RPE-BM510 BM510x04_PE20380 WC 76300000
chr10 76300000 133797422 RPE-BM510 BM510x04_PE20380 WW 57497422
chrX 0 156040895 RPE-BM510 BM510x04_PE20380 CW 156040895
chr10 0 133797422 RPE-BM510 BM510x04_PE20381 WC 133797422
chrX 0 156040895 RPE-BM510 BM510x04_PE20381 WW 156040895
chr10 0 133797422 RPE-BM510 BM510x04_PE20387 WC 133797422
chrX 0 156040895 RPE-BM510 BM510x04_PE20387 WW 156040895
chr10 0 26200000 RPE-BM510 BM510x04_PE20389 CW 26200000
chr10 26200000 88700000 RPE-BM510 BM510x04_PE20389 CC 62500000
chr10 88700000 133797422 RPE-BM510 BM510x04_PE20389 CW 45097422
chrX 0 156040895 RPE-BM510 BM510x04_PE20389 CC 156040895
chr10 0 133797422 RPE-BM510 BM510x04_PE20392 CC 133797422
chrX 0 111000000 RPE-BM510 BM510x04_PE20392 CW 111000000
chrX 111000000 156040895 RPE-BM510 BM510x04_PE20392 CC 45040895
chr10 0 60700000 RPE-BM510 BM510x04_PE20394 WW 60700000
chr10 60700000 127700000 RPE-BM510 BM510x04_PE20394 CW 67000000
chr10 127700000 127900000 RPE-BM510 BM510x04_PE20394 CC 200000
chr10 127900000 133797422 RPE-BM510 BM510x04_PE20394 CW 5897422
chrX 0 156040895 RPE-BM510 BM510x04_PE20394 CC 156040895
chr10 0 133797422 RPE-BM510 BM510x3PE20403 WC 133797422
chrX 0 156040895 RPE-BM510 BM510x3PE20403 WW 156040895
chr10 0 133797422 RPE-BM510 BM510x3PE20407 CW 133797422
chrX 0 156040895 RPE-BM510 BM510x3PE20407 CC 156040895
chr10 0 133797422 RPE-BM510 BM510x3PE20416 CW 133797422
chrX 0 156040895 RPE-BM510 BM510x3PE20416 WC 156040895
chr10 0 133797422 RPE-BM510 BM510x3PE20418 CW 133797422
chrX 0 107700000 RPE-BM510 BM510x3PE20418 CC 107700000
chrX 107700000 156040895 RPE-BM510 BM510x3PE20418 WC 48340895
chr10 0 133797422 RPE-BM510 BM510x3PE20424 CW 133797422
chrX 0 156040895 RPE-BM510 BM510x3PE20424 CC 156040895
chr10 0 133797422 RPE-BM510 BM510x3PE20425 WC 133797422
chrX 0 156040895 RPE-BM510 BM510x3PE20425 CW 156040895
chr10 0 133797422 RPE-BM510 BM510x3PE20435 WC 133797422
chrX 0 156040895 RPE-BM510 BM510x3PE20435 CW 156040895
chr10 0 133797422 RPE-BM510 BM510x3PE20438 WC 133797422
chrX 0 156040895 RPE-BM510 BM510x3PE20438 CW 156040895
chr10 0 133797422 RPE-BM510 BM510x3PE20444 CW 133797422
chrX 0 156040895 RPE-BM510 BM510x3PE20444 WC 156040895
chr10 0 133797422 RPE-BM510 BM510x3PE20453 CW 133797422
chrX 0 156040895 RPE-BM510 BM510x3PE20453 WC 156040895
chr10 0 64000000 RPE-BM510 BM510x3PE20457 WC 64000000
chr10 64000000 64300000 RPE-BM510 BM510x3PE20457 WW 300000
chr10 64300000 92800000 RPE-BM510 BM510x3PE20457 WC 28500000
chr10 92800000 93000000 RPE-BM510 BM510x3PE20457 WW 200000
chr10 93000000 133797422 RPE-BM510 BM510x3PE20457 WC 40797422
chrX 0 156040895 RPE-BM510 BM510x3PE20457 CW 156040895
chr10 0 133797422 RPE-BM510 BM510x3PE20458 WC 133797422
chrX 0 62500000 RPE-BM510 BM510x3PE20458 WC 62500000
chrX 62500000 156040895 RPE-BM510 BM510x3PE20458 WW 93540895
chr10 0 133797422 RPE-BM510 BM510x3PE20471 CW 133797422
chrX 0 156040895 RPE-BM510 BM510x3PE20471 WC 156040895
chr10 0 133797422 RPE-BM510 BM510x3PE20477 WC 133797422
chrX 0 22500000 RPE-BM510 BM510x3PE20477 CC 22500000
chrX 22500000 35600000 RPE-BM510 BM510x3PE20477 CW 13100000
chrX 35600000 156040895 RPE-BM510 BM510x3PE20477 WW 120440895
chr10 0 133797422 RPE-BM510 BM510x3PE20479 CW 133797422
chrX 0 156040895 RPE-BM510 BM510x3PE20479 WC 156040895
chr10 0 133797422 RPE-BM510 BM510x3PE20480 CW 133797422
chrX 0 54900000 RPE-BM510 BM510x3PE20480 WC 54900000
chrX 54900000 156040895 RPE-BM510 BM510x3PE20480 CC 101140895
chr10 0 42100000 RPE-BM510 BM510x3PE20490 CC 42100000
chr10 42100000 108100000 RPE-BM510 BM510x3PE20490 WC 66000000
chr10 108100000 108500000 RPE-BM510 BM510x3PE20490 WW 400000
chr10 108500000 127000000 RPE-BM510 BM510x3PE20490 WC 18500000
chr10 127000000 127200000 RPE-BM510 BM510x3PE20490 WW 200000
chr10 127200000 133797422 RPE-BM510 BM510x3PE20490 WC 6597422
chrX 0 28900000 RPE-BM510 BM510x3PE20490 CW 28900000
chrX 28900000 29100000 RPE-BM510 BM510x3PE20490 WW 200000
chrX 29100000 29300000 RPE-BM510 BM510x3PE20490 CC 200000
chrX 29300000 81900000 RPE-BM510 BM510x3PE20490 CW 52600000
chrX 81900000 82100000 RPE-BM510 BM510x3PE20490 CC 200000
chrX 82100000 104500000 RPE-BM510 BM510x3PE20490 CW 22400000
chrX 104500000 106600000 RPE-BM510 BM510x3PE20490 CC 2100000
chrX 106600000 127400000 RPE-BM510 BM510x3PE20490 CW 20800000
chrX 127400000 127600000 RPE-BM510 BM510x3PE20490 CC 200000
chrX 127600000 134100000 RPE-BM510 BM510x3PE20490 CW 6500000
chrX 134100000 134400000 RPE-BM510 BM510x3PE20490 CC 300000
chrX 134400000 143700000 RPE-BM510 BM510x3PE20490 CW 9300000
chrX 143700000 145900000 RPE-BM510 BM510x3PE20490 CC 2200000
chrX 145900000 156040895 RPE-BM510 BM510x3PE20490 CW 10140895
chr10 0 133797422 RPE-BM510 BM510x3PE20491 CW 133797422
chrX 0 20100000 RPE-BM510 BM510x3PE20491 WC 20100000
chrX 20100000 156040895 RPE-BM510 BM510x3PE20491 CC 135940895
chr10 0 133797422 RPE-BM510 BM510x3PE20492 WC 133797422
chrX 0 156040895 RPE-BM510 BM510x3PE20492 WW 156040895
