segA segB cor p x n pBH
chr1.H1 chr1.H1 1 3.87803055381984e-41 145 145 9.11337180147662e-40
chr2.H1 chr1.H1 0.0693432235808512 0.490574921042299 79 145 1
chr3.H1 chr1.H1 0.0411323645099728 0.731359878177871 75 145 1
chr4.H1 chr1.H1 0.0657957056797914 0.492626349583971 78 145 1
chr5.H1 chr1.H1 0.0693432235808512 0.490574921042299 79 145 1
chr6.H1 chr1.H1 0.10587007127978 0.225138263859697 83 145 0.914885970786274
chr7.H1 chr1.H1 0.176501007472782 0.0399512995849855 85 145 0.500722954798485
chr8.H1 chr1.H1 0.20861572549371 0.0159341894356477 88 145 0.25676808119158
chr9.H1 chr1.H1 0.0802813947033389 0.391473943732787 78 145 0.977387167998401
chr10.H1 chr1.H1 -0.0738870815362916 0.39376405605184 69 145 0.977387167998401
chr11.H1 chr1.H1 -0.0125955565963553 1 72 145 1
chr12.H1 chr1.H1 0.0444780592308797 0.610506437682113 76 145 1
chr13.H1 chr1.H1 -0.0876118363368218 0.307757566225972 67 145 0.96209727192286
chr14.H1 chr1.H1 -0.0657957056797914 0.492626349583971 67 145 1
chr15.H1 chr1.H1 0.051434449987364 0.605405624718778 78 145 1
chr16.H1 chr1.H1 -0.0527025421332884 0.604727953570904 71 145 1
chr17.H1 chr1.H1 0.234585751450426 0.00577016454142372 91 145 0.108479093378766
chr18.H1 chr1.H1 0.0517500166837699 0.607258838925039 76 145 1
chr19.H1 chr1.H1 -0.0420766430696172 0.729165353732787 72 145 1
chr20.H1 chr1.H1 -0.159825264606577 0.0599397101027442 63 145 0.650115317268225
chr21.H1 chr1.H1 -0.00593474422931123 1 74 145 1
chr22.H1 chr1.H1 -0.0770243141341271 0.392607952081492 68 145 0.977387167998401
chrX.H1 chr1.H1 -0.00593474422931123 1 74 145 1
chr1.H2 chr1.H1 0.0551265487063149 0.606404257208403 77 145 1
chr2.H2 chr1.H1 0.033844117374937 0.732832657531901 75 145 1
chr3.H2 chr1.H1 -0.0334839459418261 0.731150023571881 68 145 1
chr4.H2 chr1.H1 -0.0125955565963553 1 72 145 1
chr5.H2 chr1.H1 0.0346193413376488 0.731405444020057 73 145 1
chr6.H2 chr1.H1 -0.023218638664201 0.863987534743513 71 145 1
chr7.H2 chr1.H1 0.155279596164443 0.0853917031274876 83 145 0.75577422728329
chr8.H2 chr1.H1 0.0558449821883375 0.605560699052986 75 145 1
chr9.H2 chr1.H1 0.0444780592308797 0.610506437682113 76 145 1
chr10.H2 chr1.H1 -0.0590641593281945 0.496734961701298 69 145 1
chr11.H2 chr1.H1 0.101551675058115 0.234262682868566 80 145 0.914885970786274
chr12.H2 chr1.H1 -0.0730148671444972 0.395774005050024 67 145 0.977387167998401
chr13.H2 chr1.H1 -0.0876118363368218 0.307757566225972 67 145 0.96209727192286
chr14.H2 chr1.H1 -0.0479058862106672 0.607963017975231 68 145 1
chr15.H2 chr1.H1 0.137344150742477 0.122493360311661 82 145 0.800346327740544
chr16.H2 chr1.H1 -0.00196880531093982 1 73 145 1
chr17.H2 chr1.H1 -0.0622127753001975 0.491873307725576 66 145 1
chr18.H2 chr1.H1 0.0125955565963553 1 73 145 1
chr19.H2 chr1.H1 -0.0551265487063149 0.606404257208404 68 145 1
chr20.H2 chr1.H1 0.0125955565963553 1 73 145 1
chr21.H2 chr1.H1 -0.090906873414075 0.305472717388049 66 145 0.96209727192286
chr22.H2 chr1.H1 -0.0836742257149422 0.390349890842357 66 145 0.977387167998401
chrX.H2 chr1.H1 -0.0444780592308797 0.610506437682113 69 145 1
chr10tr chr1.H1 -0.0372317017170077 0.731609643891732 69 145 1
chr2.H1 chr2.H1 1 6.05101107065401e-43 145 145 1.84474067235074e-41
chr3.H1 chr2.H1 0.0364924330230664 0.739294487919816 75 145 1
chr4.H1 chr2.H1 0.0719069701769051 0.408215926868994 78 145 0.977387167998401
chr5.H1 chr2.H1 -0.0845799769850403 0.320835761550999 67 145 0.96209727192286
chr6.H1 chr2.H1 -0.00872653655596774 1 73 145 1
chr7.H1 chr2.H1 0.117097408252711 0.183773697938869 81 145 0.857333090750419
