chrom start end sample cell class len
chr15 0 88300000 RPE-BM510 BM510x04_PE20305 WC 88300000
chr15 88300000 101991189 RPE-BM510 BM510x04_PE20305 WW 13691189
chr21 0 46709983 RPE-BM510 BM510x04_PE20305 CC 46709983
chr15 0 22600000 RPE-BM510 BM510x04_PE20309 CW 22600000
chr15 22600000 101991189 RPE-BM510 BM510x04_PE20309 WW 79391189
chr21 0 46709983 RPE-BM510 BM510x04_PE20309 CC 46709983
chr15 0 88300000 RPE-BM510 BM510x04_PE20311 CW 88300000
chr15 88300000 101991189 RPE-BM510 BM510x04_PE20311 CC 13691189
chr21 0 46709983 RPE-BM510 BM510x04_PE20311 WW 46709983
chr15 0 22600000 RPE-BM510 BM510x04_PE20312 WC 22600000
chr15 22600000 101991189 RPE-BM510 BM510x04_PE20312 CC 79391189
chr21 0 46709983 RPE-BM510 BM510x04_PE20312 WW 46709983
chr15 0 88300000 RPE-BM510 BM510x04_PE20314 CW 88300000
chr15 88300000 101991189 RPE-BM510 BM510x04_PE20314 CC 13691189
chr21 0 46709983 RPE-BM510 BM510x04_PE20314 WC 46709983
chr15 0 22600000 RPE-BM510 BM510x04_PE20325 WC 22600000
chr15 22600000 71800000 RPE-BM510 BM510x04_PE20325 WW 49200000
chr15 71800000 88300000 RPE-BM510 BM510x04_PE20325 CW 16500000
chr15 88300000 101991189 RPE-BM510 BM510x04_PE20325 CC 13691189
chr21 0 46709983 RPE-BM510 BM510x04_PE20325 CW 46709983
chr15 0 22600000 RPE-BM510 BM510x04_PE20328 WC 22600000
chr15 22600000 88300000 RPE-BM510 BM510x04_PE20328 WW 65700000
chr15 88300000 101991189 RPE-BM510 BM510x04_PE20328 WC 13691189
chr21 0 46709983 RPE-BM510 BM510x04_PE20328 CC 46709983
chr15 0 88300000 RPE-BM510 BM510x04_PE20331 CW 88300000
chr15 88300000 101991189 RPE-BM510 BM510x04_PE20331 CC 13691189
chr21 0 46709983 RPE-BM510 BM510x04_PE20331 WC 46709983
chr15 0 22600000 RPE-BM510 BM510x04_PE20335 CW 22600000
chr15 22600000 88300000 RPE-BM510 BM510x04_PE20335 WW 65700000
chr15 88300000 101991189 RPE-BM510 BM510x04_PE20335 WC 13691189
chr21 0 46709983 RPE-BM510 BM510x04_PE20335 CC 46709983
chr15 0 22600000 RPE-BM510 BM510x04_PE20339 WC 22600000
chr15 22600000 101991189 RPE-BM510 BM510x04_PE20339 CC 79391189
chr21 0 46709983 RPE-BM510 BM510x04_PE20339 WC 46709983
chr15 0 22600000 RPE-BM510 BM510x04_PE20344 WC 22600000
chr15 22600000 101991189 RPE-BM510 BM510x04_PE20344 CC 79391189
chr21 0 46709983 RPE-BM510 BM510x04_PE20344 WC 46709983
chr15 0 101991189 RPE-BM510 BM510x04_PE20345 WC 101991189
chr21 0 46709983 RPE-BM510 BM510x04_PE20345 CW 46709983
chr15 0 88300000 RPE-BM510 BM510x04_PE20347 WC 88300000
chr15 88300000 101991189 RPE-BM510 BM510x04_PE20347 WW 13691189
chr21 0 46709983 RPE-BM510 BM510x04_PE20347 CW 46709983
