chrom start end sample cell class len
chr10 0 133797422 RPE-BM510 BM510x04_PE20308 WC 133797422
chrX 0 136900000 RPE-BM510 BM510x04_PE20308 CC 136900000
chrX 136900000 156040895 RPE-BM510 BM510x04_PE20308 CW 19140895
chr10 0 60800000 RPE-BM510 BM510x04_PE20340 CC 60800000
chr10 60800000 133797422 RPE-BM510 BM510x04_PE20340 CW 72997422
chrX 0 104200000 RPE-BM510 BM510x04_PE20340 WC 104200000
chrX 104200000 156040895 RPE-BM510 BM510x04_PE20340 WW 51840895
chr10 0 133797422 RPE-BM510 BM510x04_PE20363 CW 133797422
chrX 0 156040895 RPE-BM510 BM510x04_PE20363 CW 156040895
chr10 0 133797422 RPE-BM510 BM510x04_PE20378 WW 133797422
chrX 0 148400000 RPE-BM510 BM510x04_PE20378 CC 148400000
chrX 148400000 156040895 RPE-BM510 BM510x04_PE20378 CW 7640895
chr10 0 133797422 RPE-BM510 BM510x04_PE20382 WC 133797422
chrX 0 5100000 RPE-BM510 BM510x04_PE20382 WW 5100000
chrX 5100000 145100000 RPE-BM510 BM510x04_PE20382 WC 140000000
chrX 145100000 156040895 RPE-BM510 BM510x04_PE20382 WW 10940895
chr10 0 133797422 RPE-BM510 BM510x04_PE20392 CC 133797422
chrX 0 111000000 RPE-BM510 BM510x04_PE20392 CW 111000000
chrX 111000000 156040895 RPE-BM510 BM510x04_PE20392 CC 45040895
