chrom	start	end	sample	cell	class
chr1	0	2300000	RPE-BM510	BM510x04_PE20348	CC
chr1	0	5900000	RPE-BM510	BM510x04_PE20332	WC
chr1	0	7700000	RPE-BM510	BM510x3PE20469	CC
chr1	0	22900000	RPE-BM510	BM510x3PE20447	WW
chr1	0	24600000	RPE-BM510	BM510x04_PE20306	WC
chr1	0	27700000	RPE-BM510	BM510x3PE20429	CW
chr1	0	32900000	RPE-BM510	BM510x04_PE20393	WW
chr1	0	44000000	RPE-BM510	BM510x3PE20414	WW
chr1	0	45900000	RPE-BM510	BM510x3PE20490	CW
chr1	0	50600000	RPE-BM510	BM510x3PE20464	WW
chr1	0	51700000	RPE-BM510	BM510x04_PE20301	WW
chr1	0	52100000	RPE-BM510	BM510x04_PE20380	CW
chr1	0	53600000	RPE-BM510	BM510x04_PE20362	WW
chr1	0	57700000	RPE-BM510	BM510x04_PE20333	WC
chr1	0	69500000	RPE-BM510	BM510x04_PE20328	CC
chr1	0	71000000	RPE-BM510	BM510x04_PE20303	CW
chr1	0	80400000	RPE-BM510	BM510x04_PE20359	CW
chr1	0	91000000	RPE-BM510	BM510x3PE20489	CC
chr1	0	96000000	RPE-BM510	BM510x04_PE20356	CW
chr1	0	108700000	RPE-BM510	BM510x3PE20495	CC
chr1	0	110200000	RPE-BM510	BM510x04_PE20335	CW
chr1	0	114700000	RPE-BM510	BM510x3PE20482	CW
chr1	0	116500000	RPE-BM510	BM510x04_PE20311	CW
chr1	0	119900000	RPE-BM510	BM510x04_PE20360	WW
chr1	0	120200000	RPE-BM510	BM510x04_PE20310	WW
chr1	0	122600000	RPE-BM510	BM510x04_PE20378	CW
chr1	0	144000000	RPE-BM510	BM510x04_PE20374	WW
chr1	0	152000000	RPE-BM510	BM510x04_PE20387	CC
chr1	0	163600000	RPE-BM510	BM510x04_PE20375	WW
chr1	0	176600000	RPE-BM510	BM510x3PE20439	WC
chr1	0	183200000	RPE-BM510	BM510x04_PE20344	CW
chr1	0	201400000	RPE-BM510	BM510x3PE20408	CW
chr1	0	205500000	RPE-BM510	BM510x3PE20454	CC
chr1	0	210100000	RPE-BM510	BM510x3PE20441	WC
chr1	0	213000000	RPE-BM510	BM510x04_PE20312	CW
chr1	0	215600000	RPE-BM510	BM510x04_PE20329	WC
chr1	0	218600000	RPE-BM510	BM510x3PE20436	WC
chr1	0	220200000	RPE-BM510	BM510x3PE20453	CC
chr1	0	224200000	RPE-BM510	BM510x3PE20418	WW
chr1	0	226000000	RPE-BM510	BM510x04_PE20336	WW
chr1	0	226600000	RPE-BM510	BM510x04_PE20371	CC
chr1	0	240300000	RPE-BM510	BM510x04_PE20302	CC
chr1	0	248956422	RPE-BM510	BM510x04_PE20304	WW
chr1	0	248956422	RPE-BM510	BM510x04_PE20305	WW
chr1	0	248956422	RPE-BM510	BM510x04_PE20307	CC
chr1	0	248956422	RPE-BM510	BM510x04_PE20308	WC
chr1	0	248956422	RPE-BM510	BM510x04_PE20309	WC
chr1	0	248956422	RPE-BM510	BM510x04_PE20313	CC
chr1	0	248956422	RPE-BM510	BM510x04_PE20314	CC
chr1	0	248956422	RPE-BM510	BM510x04_PE20316	CC
chr1	0	248956422	RPE-BM510	BM510x04_PE20317	WC
chr1	0	248956422	RPE-BM510	BM510x04_PE20318	WC
chr1	0	248956422	RPE-BM510	BM510x04_PE20319	CW
chr1	0	248956422	RPE-BM510	BM510x04_PE20321	WC
chr1	0	248956422	RPE-BM510	BM510x04_PE20322	CW
chr1	0	248956422	RPE-BM510	BM510x04_PE20325	CW
chr1	0	248956422	RPE-BM510	BM510x04_PE20330	CW
chr1	0	248956422	RPE-BM510	BM510x04_PE20331	WW
chr1	0	248956422	RPE-BM510	BM510x04_PE20334	WC
chr1	0	248956422	RPE-BM510	BM510x04_PE20337	CC
chr1	0	248956422	RPE-BM510	BM510x04_PE20339	CC
chr1	0	248956422	RPE-BM510	BM510x04_PE20340	CC
chr1	0	248956422	RPE-BM510	BM510x04_PE20342	WW
chr1	0	248956422	RPE-BM510	BM510x04_PE20343	CW
chr1	0	248956422	RPE-BM510	BM510x04_PE20345	WW
chr1	0	248956422	RPE-BM510	BM510x04_PE20347	CC
chr1	0	248956422	RPE-BM510	BM510x04_PE20353	WC
chr1	0	248956422	RPE-BM510	BM510x04_PE20355	WW
chr1	0	248956422	RPE-BM510	BM510x04_PE20357	CW
chr1	0	248956422	RPE-BM510	BM510x04_PE20358	CC
chr1	0	248956422	RPE-BM510	BM510x04_PE20361	WW
chr1	0	248956422	RPE-BM510	BM510x04_PE20363	CW
chr1	0	248956422	RPE-BM510	BM510x04_PE20365	WC
chr1	0	248956422	RPE-BM510	BM510x04_PE20366	CW
chr1	0	248956422	RPE-BM510	BM510x04_PE20367	CC
chr1	0	248956422	RPE-BM510	BM510x04_PE20368	CC
chr1	0	248956422	RPE-BM510	BM510x04_PE20370	WW
chr1	0	248956422	RPE-BM510	BM510x04_PE20372	WC
chr1	0	248956422	RPE-BM510	BM510x04_PE20373	CW
chr1	0	248956422	RPE-BM510	BM510x04_PE20377	WC
chr1	0	248956422	RPE-BM510	BM510x04_PE20379	CW
chr1	0	248956422	RPE-BM510	BM510x04_PE20381	CC
chr1	0	248956422	RPE-BM510	BM510x04_PE20382	CC
chr1	0	248956422	RPE-BM510	BM510x04_PE20383	WC
chr1	0	248956422	RPE-BM510	BM510x04_PE20384	CC
chr1	0	248956422	RPE-BM510	BM510x04_PE20386	CC
chr1	0	248956422	RPE-BM510	BM510x04_PE20389	CW
chr1	0	248956422	RPE-BM510	BM510x04_PE20390	CC
chr1	0	248956422	RPE-BM510	BM510x04_PE20392	CW
chr1	0	248956422	RPE-BM510	BM510x04_PE20394	CW
chr1	0	248956422	RPE-BM510	BM510x04_PE20395	WC
chr1	0	248956422	RPE-BM510	BM510x3PE20401	WW
chr1	0	248956422	RPE-BM510	BM510x3PE20402	WW
chr1	0	248956422	RPE-BM510	BM510x3PE20403	WC
chr1	0	248956422	RPE-BM510	BM510x3PE20406	CW
chr1	0	248956422	RPE-BM510	BM510x3PE20407	CC
chr1	0	248956422	RPE-BM510	BM510x3PE20410	CC
chr1	0	248956422	RPE-BM510	BM510x3PE20411	CC
chr1	0	248956422	RPE-BM510	BM510x3PE20415	WW
chr1	0	248956422	RPE-BM510	BM510x3PE20416	WC
chr1	0	248956422	RPE-BM510	BM510x3PE20417	CC
chr1	0	248956422	RPE-BM510	BM510x3PE20419	CC
chr1	0	248956422	RPE-BM510	BM510x3PE20421	CC
chr1	0	248956422	RPE-BM510	BM510x3PE20422	CW
chr1	0	248956422	RPE-BM510	BM510x3PE20423	CC
chr1	0	248956422	RPE-BM510	BM510x3PE20424	CC
chr1	0	248956422	RPE-BM510	BM510x3PE20425	CW
chr1	0	248956422	RPE-BM510	BM510x3PE20426	WC
chr1	0	248956422	RPE-BM510	BM510x3PE20427	WW
chr1	0	248956422	RPE-BM510	BM510x3PE20431	CC
chr1	0	248956422	RPE-BM510	BM510x3PE20433	CW
chr1	0	248956422	RPE-BM510	BM510x3PE20435	CW
chr1	0	248956422	RPE-BM510	BM510x3PE20437	WW
chr1	0	248956422	RPE-BM510	BM510x3PE20438	CW
chr1	0	248956422	RPE-BM510	BM510x3PE20440	CC
chr1	0	248956422	RPE-BM510	BM510x3PE20444	CC
chr1	0	248956422	RPE-BM510	BM510x3PE20446	CW
chr1	0	248956422	RPE-BM510	BM510x3PE20448	WC
chr1	0	248956422	RPE-BM510	BM510x3PE20449	CW
chr1	0	248956422	RPE-BM510	BM510x3PE20450	WW
chr1	0	248956422	RPE-BM510	BM510x3PE20452	WC
chr1	0	248956422	RPE-BM510	BM510x3PE20455	CC
