chrom start end
chr1 121976459 143184587
chr2 90402511 94496015
chr3 90550102 93705574
chr4 49336924 51793951
chr5 46435900 50109807
chr6 58453888 61398261
chr7 58119653 62506779
chr8 43983744 45927265
chr9 43222167 60518558
chr10 38529907 42066265
chr11 50821348 54525074
chr12 34719407 37460128
chr13 10000 18408106
chr14 10000 19611713
chr15 10000 21242090
chr16 34521510 46280682
chr17 21795850 26935980
chr18 15410899 20911206
chr19 24448980 27240874
chr20 26348365 31161625
chr21 10000 12965808
chr22 10000 16314010
chrX 58555579 62462542
chrY 9046914 56673214
