chrom start end N whole.chrom len
chr1 120200000 248956422 2 FALSE 128756422
chr4 0 51800000 3 FALSE 51800000
chr4 51800000 190214555 3 FALSE 138414555
chr9 0 38700000 4 FALSE 38700000
chr9 0 39800000 7 FALSE 39800000
chr9 0 68300000 5 FALSE 68300000
chr9 38700000 68300000 3 FALSE 29600000
chr9 39800000 138394717 7 FALSE 98594717
chr9 68300000 138394717 7 FALSE 70094717
chr10 0 42100000 2 FALSE 42100000
chr10 0 60700000 3 FALSE 60700000
chr10 0 60800000 27 FALSE 60800000
chr10 0 60900000 5 FALSE 60900000
chr10 60700000 133797422 2 FALSE 73097422
chr10 60800000 133797422 29 FALSE 72997422
chr10 60900000 133797422 4 FALSE 72897422
chr11 0 39900000 2 FALSE 39900000
chr13 0 16300000 2 FALSE 16300000
chr13 0 18400000 22 FALSE 18400000
chr13 0 18500000 4 FALSE 18500000
chr13 0 18600000 2 FALSE 18600000
chr13 0 18700000 3 FALSE 18700000
chr13 0 20300000 4 FALSE 20300000
chr13 0 20400000 45 FALSE 20400000
chr13 0 20500000 4 FALSE 20500000
chr13 18400000 114364328 21 FALSE 95964328
chr13 18500000 114364328 3 FALSE 95864328
chr13 18600000 114364328 2 FALSE 95764328
chr13 18700000 114364328 3 FALSE 95664328
chr13 20300000 114364328 4 FALSE 94064328
chr13 20400000 114364328 44 FALSE 93964328
chr13 20500000 114364328 4 FALSE 93864328
chr15 0 22500000 3 FALSE 22500000
chr15 0 22600000 42 FALSE 22600000
chr15 0 23300000 2 FALSE 23300000
chr15 0 23400000 11 FALSE 23400000
chr15 0 23500000 2 FALSE 23500000
chr15 0 88300000 45 FALSE 88300000
chr15 22500000 88300000 2 FALSE 65800000
chr15 22600000 88300000 19 FALSE 65700000
chr15 22600000 101991189 20 FALSE 79391189
chr15 23400000 88300000 2 FALSE 64900000
chr15 23400000 101991189 8 FALSE 78591189
chr15 88300000 101991189 75 FALSE 13691189
chr16 0 31900000 5 FALSE 31900000
chr16 0 46500000 5 FALSE 46500000
chr16 31900000 35100000 5 FALSE 3200000
chr16 35100000 46500000 4 FALSE 11400000
chr16 35100000 90338345 2 FALSE 55238345
chr16 46500000 90338345 10 FALSE 43838345
chr17 0 7600000 2 FALSE 7600000
chr17 0 7700000 70 FALSE 7700000
chr17 0 7800000 5 FALSE 7800000
chr17 7600000 83257441 3 FALSE 75657441
chr17 7700000 16100000 2 FALSE 8400000
chr17 7700000 83257441 58 FALSE 75557441
chr17 7800000 83257441 5 FALSE 75457441
chr18 0 20900000 7 FALSE 20900000
chr18 20900000 80373285 5 FALSE 59473285
chr22 0 37900000 29 FALSE 37900000
chr22 0 38000000 9 FALSE 38000000
chr22 0 38100000 2 FALSE 38100000
chr22 37900000 50818468 28 FALSE 12918468
chr22 38000000 50818468 8 FALSE 12818468
chr22 38100000 50818468 2 FALSE 12718468
chrX 0 62500000 2 FALSE 62500000
chrX 62500000 156040895 2 FALSE 93540895
