chrom	start	end	sample	cell	class
chr1	0	5600000	RPE1-WT	RPE1WTPE20441	CW
chr1	0	14600000	RPE1-WT	RPE1WTPE20432	WC
chr1	0	22900000	RPE1-WT	RPE1WTPE20457	WC
chr1	0	23300000	RPE1-WT	RPE1WTPE20452	WW
chr1	0	35500000	RPE1-WT	RPE1WTPE20426	CW
chr1	0	48600000	RPE1-WT	RPE1WTPE20481	CC
chr1	0	60500000	RPE1-WT	RPE1WTPE20423	CW
chr1	0	68200000	RPE1-WT	RPE1WTPE20448	WW
chr1	0	78800000	RPE1-WT	RPE1WTPE20438	CW
chr1	0	94000000	RPE1-WT	RPE1WTPE20465	CC
chr1	0	120400000	RPE1-WT	RPE1WTPE20442	CC
chr1	0	120400000	RPE1-WT	RPE1WTPE20464	WW
chr1	0	120900000	RPE1-WT	RPE1WTPE20445	WW
chr1	0	120900000	RPE1-WT	RPE1WTPE20462	WW
chr1	0	121000000	RPE1-WT	RPE1WTPE20415	CC
chr1	0	121000000	RPE1-WT	RPE1WTPE20436	CC
chr1	0	121000000	RPE1-WT	RPE1WTPE20485	CC
chr1	0	121000000	RPE1-WT	RPE1WTPE20486	CC
chr1	0	121000000	RPE1-WT	RPE1WTPE20494	CC
chr1	0	146600000	RPE1-WT	RPE1WTPE20451	WW
chr1	0	151600000	RPE1-WT	RPE1WTPE20440	WC
chr1	0	195000000	RPE1-WT	RPE1WTPE20424	WW
chr1	0	210000000	RPE1-WT	RPE1WTPE20439	WW
chr1	0	214600000	RPE1-WT	RPE1WTPE20429	CW
chr1	0	218400000	RPE1-WT	RPE1WTPE20430	CW
chr1	0	248956422	RPE1-WT	RPE1WTPE20401	CW
chr1	0	248956422	RPE1-WT	RPE1WTPE20402	CW
chr1	0	248956422	RPE1-WT	RPE1WTPE20403	WC
chr1	0	248956422	RPE1-WT	RPE1WTPE20404	CC
chr1	0	248956422	RPE1-WT	RPE1WTPE20405	CC
chr1	0	248956422	RPE1-WT	RPE1WTPE20406	WW
chr1	0	248956422	RPE1-WT	RPE1WTPE20407	WW
chr1	0	248956422	RPE1-WT	RPE1WTPE20409	CW
chr1	0	248956422	RPE1-WT	RPE1WTPE20410	WC
chr1	0	248956422	RPE1-WT	RPE1WTPE20411	CW
chr1	0	248956422	RPE1-WT	RPE1WTPE20412	WC
chr1	0	248956422	RPE1-WT	RPE1WTPE20413	CW
chr1	0	248956422	RPE1-WT	RPE1WTPE20414	WW
chr1	0	248956422	RPE1-WT	RPE1WTPE20416	WW
chr1	0	248956422	RPE1-WT	RPE1WTPE20417	WW
chr1	0	248956422	RPE1-WT	RPE1WTPE20418	CC
chr1	0	248956422	RPE1-WT	RPE1WTPE20419	CW
chr1	0	248956422	RPE1-WT	RPE1WTPE20421	CW
chr1	0	248956422	RPE1-WT	RPE1WTPE20422	CC
chr1	0	248956422	RPE1-WT	RPE1WTPE20425	WC
chr1	0	248956422	RPE1-WT	RPE1WTPE20428	WW
chr1	0	248956422	RPE1-WT	RPE1WTPE20431	WC
chr1	0	248956422	RPE1-WT	RPE1WTPE20434	WC
chr1	0	248956422	RPE1-WT	RPE1WTPE20435	WW
chr1	0	248956422	RPE1-WT	RPE1WTPE20437	WC
chr1	0	248956422	RPE1-WT	RPE1WTPE20447	WC
chr1	0	248956422	RPE1-WT	RPE1WTPE20449	WC
chr1	0	248956422	RPE1-WT	RPE1WTPE20450	WC
chr1	0	248956422	RPE1-WT	RPE1WTPE20453	WW
chr1	0	248956422	RPE1-WT	RPE1WTPE20454	CW
chr1	0	248956422	RPE1-WT	RPE1WTPE20455	CW
chr1	0	248956422	RPE1-WT	RPE1WTPE20456	WC
chr1	0	248956422	RPE1-WT	RPE1WTPE20459	CC
chr1	0	248956422	RPE1-WT	RPE1WTPE20463	WC
chr1	0	248956422	RPE1-WT	RPE1WTPE20466	CW
chr1	0	248956422	RPE1-WT	RPE1WTPE20467	CW
chr1	0	248956422	RPE1-WT	RPE1WTPE20468	CC
chr1	0	248956422	RPE1-WT	RPE1WTPE20469	CC
chr1	0	248956422	RPE1-WT	RPE1WTPE20470	WC
chr1	0	248956422	RPE1-WT	RPE1WTPE20471	CW
chr1	0	248956422	RPE1-WT	RPE1WTPE20472	WC
chr1	0	248956422	RPE1-WT	RPE1WTPE20473	CC
chr1	0	248956422	RPE1-WT	RPE1WTPE20474	WW
chr1	0	248956422	RPE1-WT	RPE1WTPE20476	CW
chr1	0	248956422	RPE1-WT	RPE1WTPE20477	CC
chr1	0	248956422	RPE1-WT	RPE1WTPE20478	CW
chr1	0	248956422	RPE1-WT	RPE1WTPE20480	WW
chr1	0	248956422	RPE1-WT	RPE1WTPE20483	WW
chr1	0	248956422	RPE1-WT	RPE1WTPE20484	WW
chr1	0	248956422	RPE1-WT	RPE1WTPE20489	CC
chr1	0	248956422	RPE1-WT	RPE1WTPE20490	WW
chr1	0	248956422	RPE1-WT	RPE1WTPE20491	WC
chr1	0	248956422	RPE1-WT	RPE1WTPE20492	WC
chr1	0	248956422	RPE1-WT	RPE1WTPE20493	CC
chr1	0	248956422	RPE1-WT	RPE1WTPE20495	CW
chr1	5600000	120400000	RPE1-WT	RPE1WTPE20441	WW
chr1	14600000	28300000	RPE1-WT	RPE1WTPE20432	WW
chr1	22900000	230000000	RPE1-WT	RPE1WTPE20457	WW
chr1	23300000	248956422	RPE1-WT	RPE1WTPE20452	CW
chr1	28300000	248956422	RPE1-WT	RPE1WTPE20432	CW
chr1	35500000	248956422	RPE1-WT	RPE1WTPE20426	WW
chr1	48600000	147200000	RPE1-WT	RPE1WTPE20481	WC
chr1	60500000	100100000	RPE1-WT	RPE1WTPE20423	CC
chr1	68200000	248956422	RPE1-WT	RPE1WTPE20448	CW
chr1	78800000	120900000	RPE1-WT	RPE1WTPE20438	CC
chr1	94000000	248956422	RPE1-WT	RPE1WTPE20465	WC
chr1	100100000	115400000	RPE1-WT	RPE1WTPE20423	WC
chr1	115400000	248956422	RPE1-WT	RPE1WTPE20423	WW
chr1	120400000	147200000	RPE1-WT	RPE1WTPE20464	WC
chr1	120400000	148100000	RPE1-WT	RPE1WTPE20441	WC
chr1	120400000	248956422	RPE1-WT	RPE1WTPE20442	CW
chr1	120900000	147100000	RPE1-WT	RPE1WTPE20462	WC
chr1	120900000	147400000	RPE1-WT	RPE1WTPE20438	WC
chr1	120900000	147400000	RPE1-WT	RPE1WTPE20445	WC
chr1	121000000	147100000	RPE1-WT	RPE1WTPE20485	WC
chr1	121000000	147200000	RPE1-WT	RPE1WTPE20415	WC
chr1	121000000	147200000	RPE1-WT	RPE1WTPE20436	WC
chr1	121000000	147200000	RPE1-WT	RPE1WTPE20494	WC
chr1	121000000	147400000	RPE1-WT	RPE1WTPE20486	WC
chr1	146600000	150300000	RPE1-WT	RPE1WTPE20451	WC
chr1	147100000	149000000	RPE1-WT	RPE1WTPE20462	CC
chr1	147100000	149000000	RPE1-WT	RPE1WTPE20485	WW
chr1	147200000	149000000	RPE1-WT	RPE1WTPE20415	WW
chr1	147200000	149000000	RPE1-WT	RPE1WTPE20436	WW
chr1	147200000	149000000	RPE1-WT	RPE1WTPE20464	CC
chr1	147200000	149000000	RPE1-WT	RPE1WTPE20481	WW
chr1	147200000	149000000	RPE1-WT	RPE1WTPE20494	WW
chr1	147400000	149000000	RPE1-WT	RPE1WTPE20438	WW
chr1	147400000	149000000	RPE1-WT	RPE1WTPE20445	CC
chr1	147400000	149000000	RPE1-WT	RPE1WTPE20486	WW
chr1	148100000	248956422	RPE1-WT	RPE1WTPE20441	WW
